section,name,value,note
grouped_split,fold_1,0,"train_rows=99378,test_rows=24758,train_races=77,test_races=19,overlap_sample="
grouped_split,fold_2,0,"train_rows=99014,test_rows=25122,train_races=76,test_races=20,overlap_sample="
grouped_split,fold_3,0,"train_rows=99412,test_rows=24724,train_races=77,test_races=19,overlap_sample="
grouped_split,fold_4,0,"train_rows=99343,test_rows=24793,train_races=77,test_races=19,overlap_sample="
grouped_split,fold_5,0,"train_rows=99397,test_rows=24739,train_races=77,test_races=19,overlap_sample="
oof_distribution,fold_1,1086,race_count=1
oof_distribution,fold_2,856,race_count=1
oof_distribution,fold_3,1267,race_count=1
oof_distribution,fold_4,812,race_count=1
oof_distribution,fold_5,1007,race_count=1
oof_distribution,fold_6,719,race_count=1
oof_distribution,fold_7,749,race_count=1
oof_distribution,fold_8,1092,race_count=1
oof_distribution,fold_9,1268,race_count=1
oof_distribution,fold_10,1057,race_count=1
oof_distribution,fold_11,877,race_count=1
oof_distribution,fold_12,1288,race_count=1
oof_distribution,fold_13,835,race_count=1
oof_distribution,fold_14,415,race_count=1
oof_distribution,fold_15,1331,race_count=1
oof_distribution,fold_16,930,race_count=1
oof_distribution,fold_17,1066,race_count=1
oof_distribution,fold_18,682,race_count=1
oof_distribution,fold_19,701,race_count=1
oof_distribution,fold_20,1212,race_count=1
oof_distribution,fold_21,1030,race_count=1
oof_distribution,fold_22,841,race_count=1
oof_distribution,fold_23,1297,race_count=1
oof_distribution,fold_24,1206,race_count=1
oof_distribution,fold_25,1583,race_count=1
oof_distribution,fold_26,1110,race_count=1
oof_distribution,fold_27,1214,race_count=1
oof_distribution,fold_28,938,race_count=1
oof_distribution,fold_29,1146,race_count=1
oof_distribution,fold_30,1487,race_count=1
oof_distribution,fold_31,1596,race_count=1
oof_distribution,fold_32,1057,race_count=1
oof_distribution,fold_33,877,race_count=1
oof_distribution,fold_34,1553,race_count=1
oof_distribution,fold_35,1168,race_count=1
oof_distribution,fold_36,934,race_count=1
oof_distribution,fold_37,790,race_count=1
oof_distribution,fold_38,1579,race_count=1
oof_distribution,fold_39,1316,race_count=1
oof_distribution,fold_40,1717,race_count=1
oof_distribution,fold_41,944,race_count=1
oof_distribution,fold_42,957,race_count=1
oof_distribution,fold_43,1231,race_count=1
oof_distribution,fold_44,1554,race_count=1
oof_distribution,fold_45,1456,race_count=1
oof_distribution,fold_46,1197,race_count=1
oof_distribution,fold_47,1435,race_count=1
oof_distribution,fold_48,1274,race_count=1
oof_distribution,fold_49,1649,race_count=1
oof_distribution,fold_50,1237,race_count=1
oof_distribution,fold_51,1274,race_count=1
oof_distribution,fold_52,981,race_count=1
oof_distribution,fold_53,1205,race_count=1
oof_distribution,fold_54,1529,race_count=1
oof_distribution,fold_55,835,race_count=1
oof_distribution,fold_56,1684,race_count=1
oof_distribution,fold_57,1409,race_count=1
oof_distribution,fold_58,877,race_count=1
oof_distribution,fold_59,1562,race_count=1
oof_distribution,fold_60,1269,race_count=1
oof_distribution,fold_61,1079,race_count=1
oof_distribution,fold_62,1057,race_count=1
oof_distribution,fold_63,1717,race_count=1
oof_distribution,fold_64,1322,race_count=1
oof_distribution,fold_65,1752,race_count=1
oof_distribution,fold_66,1046,race_count=1
oof_distribution,fold_67,1071,race_count=1
oof_distribution,fold_68,1416,race_count=1
oof_distribution,fold_69,1557,race_count=1
oof_distribution,fold_70,1647,race_count=1
oof_distribution,fold_71,1355,race_count=1
oof_distribution,fold_72,1695,race_count=1
oof_distribution,fold_73,1425,race_count=1
oof_distribution,fold_74,1984,race_count=1
oof_distribution,fold_75,1430,race_count=1
oof_distribution,fold_76,1591,race_count=1
oof_distribution,fold_77,1237,race_count=1
oof_distribution,fold_78,1280,race_count=1
oof_distribution,fold_79,1924,race_count=1
oof_distribution,fold_80,1312,race_count=1
oof_distribution,fold_81,1985,race_count=1
oof_distribution,fold_82,1725,race_count=1
oof_distribution,fold_83,877,race_count=1
oof_distribution,fold_84,1954,race_count=1
oof_distribution,fold_85,1488,race_count=1
oof_distribution,fold_86,1400,race_count=1
oof_distribution,fold_87,1205,race_count=1
oof_distribution,fold_88,1999,race_count=1
oof_distribution,fold_89,1504,race_count=1
oof_distribution,fold_90,2189,race_count=1
oof_distribution,fold_91,1346,race_count=1
oof_distribution,fold_92,1321,race_count=1
oof_distribution,fold_93,1669,race_count=1
oof_distribution,fold_94,1906,race_count=1
oof_distribution,fold_95,1851,race_count=1
oof_distribution,fold_96,1572,race_count=1
